toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderrtot,pl_orbper,pl_orbpererrtot,pl_trandurh,pl_trandurherrtot,pl_trandep,pl_trandeperrtot,pl_rade,pl_radeerrtot,pl_insol,pl_insolerrtot,pl_eqt,pl_eqterrtot,st_tmag,st_tmagerrtot,st_dist,st_disterrtot,st_teff,st_tefferrtot,st_logg,st_loggerrtot,st_rad,st_raderrtot
1063.01,406976746,PC,2458629.392,0.002984,10.0665238,0.0000474,2.4023189,0.3198646,839.9044871,95.10167,2.7272824,0.4256622,54.8791715,0,694.1792631,0,9.0689,0.012,61.1201,0.2018,5552,374,4.61783,0.526926,0.791742,0.090613
1064.01,79748331,CP,2458656.668,0.00237,6.4438657,0.000033,1.9309449,0.602993,1121.951228,152.315292,2.460344,3.277456,60.831305,0,712.2812841,0,10.0059,0.012,68.0726,0.724,4803,356,4.52079,4.00696,0.737189,0.113407
1064.02,79748331,CP,2458664.49,0.003392,12.2265595,0.0000538,2.1904379,0.843955,1206.369329,173.21888,2.6014766,3.5066808,25.8970378,0,575.3502049,0,10.0059,0.012,68.0726,0.724,4803,356,4.52079,4.00696,0.737189,0.113407
1065.01,7088246,KP,2458654.348,0.004188,2.160344,0.000552,1.828854,0.28962,19357.99299,2975.2378,22.503541,35.000408,,0,,0,13.2851,0.012,639.004,18.943,5780,0,4.32928,0,1.2,0
1066.01,201604954,KP,2458657.833,0.002478,4.606184,0.000784,3.121643,0.157754,13793.03487,2063.1064,12.962219,1.164366,,0,,0,11.9707,0.012,353.891,9.838,5670,0,4.3925,0,1.07,0
1067.01,201642601,KP,2458656.988,0.001002,3.1316735,0.0000066,2.4579197,0.1631276,14915.69437,615.82728,9.4995191,0.6884662,148.6544991,0,890.5622134,0,13.1686,0.012,263.609,3.318,4351,334,4.438,0,0.76701,0
1068.01,6663331,KP,2458656.633,0.002502,3.180362,0.000494,2.111521,0.212516,21192.46332,1364.94848,13.446487,1.201358,,0,,0,13.2887,0.012,535.383,15.629,5498,0,4.47934,0,0.92,0
1069.01,31858843,KP,2460147.379,0.000512,2.9776446,0.0000016,2.962,0.198,13022,246.104,14.4339,1.53153,758.324,0,1461,0,10.4293,0.012,197.996,6.076,5703,376,4.25824,0.596564,1.22,0.12
107.01,92352620,KP,2460176.993,0.000898,3.9502008,0.0000052,4.444,0.092,13914,191.9798,20.5357,1.799328,1009.38,0,1570,0,9.6433,0.012,211.211,4.967,6153,0,4.18077,0,1.71,0.14
1070.01,31858844,FP,2458655.579,0.001064,2.9776152,0.0001956,3.25697,0.060452,43218.11168,833.45556,26.88423,0.393956,873.27,0,1386.5,0,15.7114,0.046,,0,5740,0,4.29219,0,1.28,0
1071.01,120247528,KP,2458655.394,0.000752,3.5544026,0.000004,2.0550535,0.0754084,10164.87534,581.49774,13.200677,1.5240304,515.0014435,0,1214.987644,0,11.5803,0.012,290.198,5.874,5639,376,4.37172,4.00774,1.11499,0.1183516
1072.01,140830390,FP,2459211.732,0.00439,12.8379689,0.0062472,9.8464123,0.3756822,10539.01928,722.01868,25.4886382,2.753552,374.129,0,1225,0,11.7106,0.012,703.878,21.392,5765,378,4.34773,4.00716,2.4494,0.23398
1073.01,158297421,CP,2459036.473,0.002586,3.9228016,0.0000244,1.8736007,0.1596292,31510.90049,2095.7316,13.3368705,0.8625616,91.167589,0,788.0973496,0,13.6699,0.012,300.67,7.612,4444,336,4.438,0,0.6983,0
